id,user_id,from_account,to_account,amount,currency,recipient_name,recipient_is_new,status,risk_score,created_at,_is_fraud
1,302,AL6883031519629741,AL3256902224808666,359.85,ALL,Tammy Jones,True,ALLOWED,0.218,2025-07-13 03:43:21.919225,0
2,53,AL0241183557728384,AL0666798796657054,1502.92,ALL,Matthew Coleman,False,ALLOWED,0.25,2025-08-29 20:06:39.919225,0
3,427,AL6773916170236023,AL2650437396148277,1371.4,EUR,Dr. Eric Chambers MD,False,ALLOWED,0.176,2025-07-07 07:11:37.920221,0
4,122,AL8730940994700261,AL1266153590947437,310.51,GBP,Nicholas Lyons,False,ALLOWED,0.227,2025-09-24 00:53:57.921206,0
5,256,AL3757588915123648,AL1579382757752589,30.49,ALL,Margaret Simpson,False,ALLOWED,0.04,2025-12-28 05:53:39.921206,0
6,230,AL3074916154468381,AL0059540608892127,144.97,ALL,Chelsea Roy,False,ALLOWED,0.257,2026-04-21 02:51:18.922256,0
7,435,AL4346655921796434,AL3964002275959537,222.94,ALL,Jonathan Hernandez,False,ALLOWED,0.138,2025-08-03 23:44:04.922298,0
8,86,AL7313136172872510,AL9865317064795543,4521.92,ALL,Stephen Randolph,True,HELD,0.69,2025-06-26 18:26:18.922298,1
9,323,AL1825012558170211,AL1813681283270888,334.52,ALL,Emily Knapp,True,ALLOWED,0.26,2025-12-03 14:03:55.923316,0
10,110,AL6675827018466621,AL3696425360173454,14.41,EUR,Brandon Estes,False,ALLOWED,0.022,2025-09-25 13:57:38.923316,0
11,263,AL7690830611925210,AL7952822883797061,96.45,ALL,Nathan Dunn,True,ALLOWED,0.055,2025-12-06 00:16:51.924316,0
12,344,AL5281876842194839,AL2029442269774078,9788.4,ALL,Thomas Lynch,False,ALLOWED,0.745,2026-01-25 02:18:37.924316,1
13,188,AL9895576424017810,AL6856000196729190,78.98,ALL,Amy Lin,False,ALLOWED,0.225,2026-02-12 15:28:37.925315,0
14,421,AL1264174169513599,AL1176583567364583,1397.2,ALL,Maria Shaw,False,ALLOWED,0.087,2026-02-21 13:36:35.925315,0
15,395,AL7543609525815585,AL1042075944803728,1655.5,EUR,Angelica Rodriguez,False,ALLOWED,0.098,2025-08-23 15:56:08.926311,0
16,75,AL9695003718242440,AL0648364597447314,1527.02,EUR,Jeffrey Thompson,False,ALLOWED,0.046,2026-03-17 02:23:43.926311,0
17,38,AL1606347485962745,AL5238297852053199,4643.76,ALL,Jared Allen,False,ALLOWED,0.105,2025-10-28 17:55:47.927376,0
18,16,AL3839578785041822,AL3525145546522697,147.9,USD,Austin Carter,False,ALLOWED,0.181,2025-07-03 06:07:50.927376,0
19,331,AL5736828336652098,AL8500448575366716,38.77,GBP,Pamela Gibbs,False,ALLOWED,0.061,2025-09-25 07:06:42.928378,0
20,9,AL5135316612267797,AL3631544492250155,6011.13,EUR,Michael Young,True,BLOCKED,0.825,2025-11-30 19:49:08.928378,1
21,117,AL5304192401207992,AL5512329346765982,165.38,ALL,Amy Warner,False,ALLOWED,0.172,2025-07-08 13:37:24.929377,0
22,381,AL3867485634830334,AL5854985146256057,40.96,ALL,Ryan Lee,False,ALLOWED,0.017,2025-07-20 04:23:36.929377,0
23,466,AL6220078151478939,AL1482903361262883,1.28,ALL,Matthew Lopez,True,BLOCKED,0.769,2025-07-30 14:27:50.930377,1
24,225,AL5116929330446114,AL6596491912879763,288.49,EUR,Rachel Oconnell MD,False,ALLOWED,0.198,2026-05-16 18:35:21.930377,0
25,348,AL0950112363722238,AL8048489403245413,109.1,ALL,Ronald Wong,False,HELD,0.066,2025-09-09 01:20:12.931376,0
26,384,AL4482303058499055,AL6596491912879763,20281.43,USD,Leslie Savage,True,BLOCKED,0.924,2025-08-28 02:27:43.931376,1
27,157,AL0059540608892127,AL0288015697206595,805.17,ALL,Luke Smith,False,ALLOWED,0.295,2025-08-08 17:23:53.932375,0
28,150,AL7952822883797061,AL5388573709551508,118.89,ALL,Bradley Williams DDS,False,ALLOWED,0.085,2026-02-17 00:15:23.932375,0
29,461,AL4476269496990818,AL6365262991791792,52.69,ALL,Mariah English,False,ALLOWED,0.339,2026-03-18 12:01:20.933428,0
30,452,AL5588030362145702,AL5674835162688911,343.26,ALL,Thomas Kaiser,True,ALLOWED,0.191,2026-03-01 05:39:20.933428,0
31,441,AL3684424862570722,AL4556189188734818,123.67,EUR,Cody Maldonado,False,ALLOWED,0.331,2026-03-25 10:53:22.933428,0
32,131,AL2484037554256869,AL4742451119713418,41.8,ALL,William Russell,False,ALLOWED,0.181,2025-09-29 03:27:18.934430,0
33,256,AL3757588915123648,AL4931899984162469,72.8,ALL,Sandra Walker,False,ALLOWED,0.118,2025-10-25 05:57:44.935429,0
34,174,AL4946117043059085,AL4860845960140171,691.28,EUR,Heather Mcmahon,False,ALLOWED,0.06,2025-10-28 10:59:55.935429,0
35,112,AL7185475539917039,AL3256902224808666,4.48,EUR,Maureen Williams,False,ALLOWED,0.289,2025-12-10 01:40:28.936429,0
36,486,AL8948617367998544,AL8924087074528481,13.08,EUR,Jennifer Smith,False,ALLOWED,0.014,2026-02-03 00:19:04.936429,0
37,181,AL1152216025462673,AL4831301077647195,268.16,GBP,Nichole Miller,True,BLOCKED,0.047,2025-09-06 17:02:48.936429,0
38,169,AL6727681682707610,AL3839578785041822,125.09,ALL,Steve Marsh,False,BLOCKED,0.271,2026-01-08 07:01:37.937429,0
39,144,AL9951713308535045,AL2993253940103388,71.42,EUR,Austin Guerrero,True,ALLOWED,0.206,2026-01-25 13:13:40.937429,0
40,6,AL9394642792727747,AL5618450852330988,138.12,ALL,Susan Gray,True,ALLOWED,0.156,2025-08-12 03:50:25.938483,0
41,487,AL5853412454960550,AL4636367443755010,132.74,ALL,Jill Vasquez,False,ALLOWED,0.024,2025-12-21 02:05:46.938483,0
42,228,AL0452562849037829,AL0872372466912952,259.08,EUR,Brian Clark,False,ALLOWED,0.083,2025-10-13 01:28:25.939485,0
43,97,AL3336640920546802,AL8580723096951341,268.81,EUR,Adam Benitez,False,ALLOWED,0.288,2025-09-12 14:34:27.939485,0
44,47,AL7045123698100512,AL7497267378876273,1088.1,ALL,Carlos Ray,False,ALLOWED,0.293,2025-07-01 17:18:16.940484,0
45,333,AL9653384711216652,AL4389973728240035,279.58,ALL,Julie Butler,False,ALLOWED,0.26,2025-12-01 15:20:18.940484,0
46,363,AL0558813210051117,AL8867461550573522,1.25,ALL,Jacob Mathis,False,REQUIRE_2FA,0.099,2025-05-23 16:25:36.941483,0
47,419,AL2745714042922012,AL5688153759461913,496.32,EUR,Katie Harris,False,ALLOWED,0.171,2026-02-09 01:40:58.941483,0
48,265,AL6261439082066101,AL7276536999253998,846.38,ALL,Cynthia Hall,False,ALLOWED,0.231,2026-05-13 12:03:16.942483,0
49,59,AL5579341643644421,AL7543609525815585,985.54,USD,Paul Rodriguez MD,False,ALLOWED,0.027,2026-01-08 21:20:06.942483,0
50,301,AL5310360952919234,AL9091536784932356,1.82,ALL,Lauren Gonzalez,True,BLOCKED,0.637,2025-09-29 14:07:59.943482,1
51,441,AL3684424862570722,AL3959508779192915,156.29,ALL,Richard Ellis,False,ALLOWED,0.064,2025-12-12 10:31:12.943482,0
52,198,AL7263772642590985,AL0288108158753768,311.64,ALL,Robyn Le,False,ALLOWED,0.256,2026-01-27 14:59:40.944530,0
53,185,AL2510001620048302,AL0517697394393047,573.08,USD,Timothy Watkins,True,ALLOWED,0.218,2026-05-08 01:08:47.944530,0
54,177,AL8292619383740161,AL6365262991791792,223.18,ALL,David Hawkins,False,ALLOWED,0.124,2026-05-18 14:37:43.945532,0
55,71,AL2053329642880960,AL3525145546522697,77.42,EUR,Joshua Gonzalez,False,ALLOWED,0.263,2025-12-15 19:45:58.945532,0
56,99,AL2255477272403947,AL9776363627572781,895.03,ALL,Jason Clark,True,ALLOWED,0.011,2025-12-10 16:58:33.946531,0
57,49,AL3487686345076757,AL1143903729799147,380.72,GBP,David Lane,False,ALLOWED,0.239,2025-09-29 04:15:31.946531,0
58,163,AL7684004291821214,AL1282742357698762,146.39,ALL,Paul Woods,False,ALLOWED,0.24,2025-07-04 17:12:31.947545,0
59,45,AL0378135716225463,AL7413071395457268,181.39,ALL,Felicia Clayton,False,ALLOWED,0.134,2025-08-04 10:10:59.947545,0
60,418,AL7499942088508256,AL0095386661070712,95.05,ALL,Lauren Cox,False,BLOCKED,0.132,2025-08-08 20:38:12.948543,0
61,189,AL8552094260024313,AL1482903361262883,333.17,ALL,Richard Gibson,False,ALLOWED,0.103,2025-08-01 06:43:11.948543,0
62,121,AL9333306022275939,AL1482903361262883,51.86,ALL,Stuart Smith,True,ALLOWED,0.047,2025-12-10 08:00:45.949603,0
63,15,AL8045311833919951,AL5388573709551508,29.65,ALL,Jean Richardson,False,HELD,0.06,2025-09-03 04:43:49.949603,0
64,256,AL3757588915123648,AL7952822883797061,51.48,EUR,Richard Morrison,False,ALLOWED,0.292,2025-09-05 03:10:02.950618,0
65,255,AL2971020394042807,AL4774448323131070,471.89,ALL,Justin Neal,False,ALLOWED,0.196,2025-11-20 12:30:51.950618,0
66,292,AL8087458720610946,AL0250885306576117,140.62,ALL,Cynthia Freeman,True,ALLOWED,0.013,2025-09-16 22:37:48.951617,0
67,319,AL9064235616908637,AL4115314639759410,556.6,ALL,Lee Duncan,False,ALLOWED,0.046,2026-01-10 12:45:02.951617,0
68,108,AL6826000958008115,AL2650437396148277,28.53,ALL,Elizabeth Poole,False,ALLOWED,0.18,2025-08-14 17:21:19.951617,0
69,219,AL4622381467400480,AL4718216761134921,621.05,ALL,Jeremy Baker,False,ALLOWED,0.07,2025-06-11 22:02:32.952617,0
70,152,AL4786703685821056,AL5351871552172526,342.57,ALL,Maria Parks,True,ALLOWED,0.309,2025-06-11 22:07:48.952617,0
71,173,AL3669722840860766,AL5201944470024644,242.44,ALL,Colleen Martin,False,ALLOWED,0.014,2026-03-11 11:31:09.953616,0
72,159,AL7739046045612263,AL4774448323131070,62.34,ALL,Thomas Smith,False,ALLOWED,0.157,2025-12-22 15:43:32.953616,0
73,202,AL7945956455765098,AL2993253940103388,26.43,CHF,Jamie Anderson,False,ALLOWED,0.164,2025-11-04 16:22:22.954670,0
