id,name,email,password_hash,role,home_country,home_city,trust_score,average_transaction_amount,account_number,balance,created_at,updated_at
1,Renee Guerra,james13@example.com,4364eabd147517c8a892afc85b7c8dbcdb848cffef5929c08908f3e28b2c5da9,CUSTOMER,GB,London,77.9,70.25,AL5319764854420580,4095.63,2025-04-28 20:33:22.138870,2025-06-22 20:33:22.138870
2,Melissa Ortiz,mortoncraig@example.org,d89d27fb4960b2414ab26792476ce1a20c7c9e5ec377ad81b5bb197d083ffdea,CUSTOMER,GB,Birmingham,87.0,108.08,AL0517697394393047,924.34,2025-02-04 22:48:03.138870,2025-03-13 22:48:03.138870
3,Luis Jones,odixon@example.org,014ab3b4aed72c293ddefa3e930765fb0b392b2cf3c1683fba93ddc95e3ed624,CUSTOMER,AL,Elbasan,71.6,90.98,AL8226618180777647,678.91,2025-06-22 11:07:21.139870,2025-10-11 11:07:21.139870
4,Rhonda Valenzuela,halldavid@example.net,ef6367179a91462a6f2c22485dc56ec1f300a0b1c5eab2aaf6a24151f048bcf1,CUSTOMER,DE,Hamburg,72.8,175.88,AL6550573603492249,200.35,2025-06-05 20:58:39.140871,2025-11-22 20:58:39.140871
5,Sherry Pearson,jonathan79@example.net,2c7e4024f19d0c5ffa900445ffe274e9933555f6733fe6bd8a6f2df9f7721052,CUSTOMER,AL,Shkodër,80.9,444.34,AL4831301077647195,2255.48,2024-05-25 20:10:00.140871,2024-09-01 20:10:00.140871
6,Mr. Mark Garcia,lflynn@example.com,27d0ea5ea84464c19f118ea7a599053e853a76908500c130a27b8f580eff721b,CUSTOMER,AL,Durrës,92.7,217.42,AL9394642792727747,263.74,2024-12-21 16:34:49.141870,2025-02-13 16:34:49.141870
7,Kara Crawford,williammorales@example.com,82790b38ab58521873c7bef826e8527f0aa0a6ae21dfda284ae45dfacff54199,CUSTOMER,MK,Kumanovo,48.0,670.73,AL4764361506607470,8423.51,2025-06-02 20:54:12.142869,2025-07-09 20:54:12.142869
8,Shelley White,melissajohnson@example.org,c61f70e8d7eb32d56bfc8b325e99c7c2a9a6940af2db6daba8c5e2bb2d10a842,CUSTOMER,AL,Shkodër,77.6,1416.53,AL5201944470024644,248.56,2025-09-04 05:05:39.143869,2026-03-10 05:05:39.143869
9,Shannon Brown,halechristine@example.com,2b64be8c903de49caf8d83c6eeaa70ce90ae3c0754094cc4d923b795031324ad,CUSTOMER,AL,Elbasan,75.8,337.39,AL5135316612267797,4789.16,2025-08-11 12:58:05.144867,2025-12-11 12:58:05.144867
10,Caitlin Roberts,crystalsmith@example.net,d13637f8aa6fb4cae5d9ff17465581d887577f9cb1db7ae81177527d97b9cbaa,CUSTOMER,AL,Durrës,80.0,76.85,AL9626592991150249,1420.67,2024-07-20 21:45:49.146867,2025-02-03 21:45:49.146867
11,Kevin Young,christophermcgee@example.org,ce512003b271b1b4a23dc634d2d7b628abb7c5ed68bd79bd109c3368a02b1b6b,CUSTOMER,GB,Leeds,52.6,296.48,AL8077320992010881,617.22,2025-08-31 04:57:26.147865,2025-11-12 04:57:26.147865
12,Carol Hudson,briandavis@example.com,7e97546c5d42f9efa2c19dff356c973c3af88d9abc382a8666d7aa676a9a5857,CUSTOMER,TR,Antalya,71.2,1321.41,AL0122106912596754,664.35,2025-02-27 13:07:54.148867,2025-04-07 13:07:54.148867
13,Maria Nielsen,whitneysanchez@example.org,32225473d90e69fc101bf13f4dd7ba0feff3e7c8c294fa120937cb708b2d7e85,CUSTOMER,FR,Lyon,66.5,49.82,AL5639529940551681,1256.06,2024-06-10 22:20:17.149867,2024-11-06 22:20:17.149867
14,Susan Martin,zadams@example.org,55855853099d16e588612298f416380c742fc79460442828fef6b55d3a57a72c,CUSTOMER,RS,Novi Sad,88.4,2326.72,AL1282742357698762,294.33,2025-07-03 17:38:31.150865,2025-09-23 17:38:31.150865
15,Janice Williams,joshua97@example.com,a08a151cdf7130367cf28399279083eff5bc1f4e8e778d6b25e4b4169f8b70a1,CUSTOMER,IT,Florence,81.3,29.69,AL8045311833919951,623.76,2024-09-11 12:22:32.151865,2025-01-04 12:22:32.151865
16,Kevin Bennett,pruittchristine@example.net,b93413a835fad270be68fcd4dc199588c74ab558cc51ef28ab4bb56981c18603,CUSTOMER,AL,Elbasan,79.7,183.86,AL3839578785041822,11614.76,2026-01-05 14:03:27.151865,2026-02-23 14:03:27.151865
17,Jared Ryan,davisstephanie@example.com,3fa82f9aa45dc9d8876c1eb866d642db4fbdb88348ab0dec8e752f75398693ee,CUSTOMER,AL,Tirana,56.7,97.94,AL8929385766677185,1378.63,2024-12-26 13:07:19.152864,2025-07-07 13:07:19.152864
18,Ryan Clark,vparrish@example.org,a06b77f80d5393c4d17f1daf913c743650d8db07654619a35e099fa754391648,CUSTOMER,AL,Shkodër,80.4,184.16,AL2335373431622796,14742.17,2024-08-30 19:33:02.153864,2025-03-01 19:33:02.153864
19,Joseph Ramsey,sburton@example.com,23bcca65e14675fbe971508a615ab434bae9edbd2702e59425747370075a425e,CUSTOMER,AL,Shkodër,76.2,414.43,AL1702565891966067,3281.85,2024-11-02 17:11:58.153864,2025-02-14 17:11:58.153864
20,Raymond Powell,djenkins@example.com,3e2a309ce1d27a66903d4ae95edb75395344e54f4d9bba8b0698136cab2cfe7b,CUSTOMER,AL,Tirana,58.0,59.95,AL2750056111505446,1221.76,2024-07-06 22:58:25.154862,2024-10-18 22:58:25.154862
21,Brittney Jordan,igarcia@example.com,011a2729fb22d85556ea6a4bed4b15f992276b88475dfb6f14f3c0cdce0ea49e,CUSTOMER,US,New York,36.7,1701.82,AL7497267378876273,878.93,2024-12-04 06:10:46.155861,2025-02-04 06:10:46.155861
22,Ralph Sanchez,csims@example.org,8da764a4d7edac77a0e08ec214a9c4927eae1ea322dcd1646a95ef7541ca995a,CUSTOMER,AL,Durrës,38.3,812.23,AL7641369078941288,54.31,2026-01-02 18:53:13.155861,2026-05-09 18:53:13.155861
23,David Cruz,adamsamy@example.net,e6cb95ddac1a87108b4c7a40a66e1d2d865ed683d92faf2cef93ac9a4441fa02,CUSTOMER,DE,Hamburg,93.6,141.28,AL0359775139086278,3142.99,2024-06-14 07:08:56.156861,2024-10-25 07:08:56.156861
24,Cynthia Byrd,stacieprince@example.org,f40e87af576f97c0e5c2afe0aeee0952e3087a0a51c4339572d2ae026d25b354,CUSTOMER,IT,Florence,72.7,288.84,AL7810926900010869,118.71,2024-05-23 17:48:11.157861,2024-10-30 17:48:11.157861
25,Jacqueline Wright,ireese@example.com,f9f63300d633a7e57d2e75312ff99357fd7c7449ddcb09d93c8db32b65d98870,CUSTOMER,TR,Antalya,77.0,108.43,AL4211655756084187,289.4,2024-09-26 06:07:39.158860,2024-09-29 06:07:39.158860
26,Larry Brady,vedwards@example.org,a4471cf951064d31ed88a9f344f10dec856ce64fe7b0f7118de6e1af07a50c7d,CUSTOMER,FR,Marseille,77.7,1929.32,AL7413071395457268,1887.26,2025-10-15 14:00:56.159858,2026-02-06 14:00:56.159858
